id,nameWithOwner,url,createdAt,updatedAt,primaryLanguage,releases,pullRequests,issues,IssuesClosed,age,timeSinceLastUpdate,reasonIssuesIssuesClosed
MDEwOlJlcG9zaXRvcnk2MzUzOTA1NQ==,jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2023-09-06T19:10:51Z,JavaScript,6,771,378,273,2607,0.19305555555555556,0.7222222222222222
R_kgDOI4f-vw,base-org/node,https://github.com/base-org/node,2023-02-01T13:55:02Z,2023-09-06T16:55:02Z,Shell,15,51,46,35,217,2.4566666666666666,0.7608695652173914
MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==,home-assistant/core,https://github.com/home-assistant/core,2013-09-17T07:29:48Z,2023-09-06T18:33:59Z,Python,1151,49369,41221,39144,3641,0.8075,0.9496130613037044
MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,tiangolo/fastapi,https://github.com/tiangolo/fastapi,2018-12-08T08:21:47Z,2023-09-06T19:11:33Z,Python,166,1402,3350,3328,1733,0.18138888888888888,0.9934328358208955
MDEwOlJlcG9zaXRvcnkxNzI5NTM4NDU=,coder/code-server,https://github.com/coder/code-server,2019-02-27T16:50:41Z,2023-09-06T18:52:26Z,TypeScript,120,1337,3294,2997,1652,0.5,0.9098360655737705
MDEwOlJlcG9zaXRvcnkyMzcxNTk=,expressjs/express,https://github.com/expressjs/express,2009-06-26T18:56:01Z,2023-09-06T19:00:01Z,JavaScript,147,269,3756,3629,5185,0.3736111111111111,0.9661874334398296
MDEwOlJlcG9zaXRvcnk4ODQzNjgz,chartjs/Chart.js,https://github.com/chartjs/Chart.js,2013-03-17T23:56:36Z,2023-09-06T19:13:39Z,JavaScript,106,2905,6920,6635,3824,0.1463888888888889,0.9588150289017341
MDEwOlJlcG9zaXRvcnkxNTYwMTg=,redis/redis,https://github.com/redis/redis,2009-03-21T22:32:25Z,2023-09-06T18:28:37Z,C,59,3439,6151,4219,5281,0.8969444444444444,0.6859047309380588
R_kgDOIPDwlg,langchain-ai/langchain,https://github.com/langchain-ai/langchain,2022-10-17T02:58:36Z,2023-09-06T18:48:15Z,Python,228,4690,3611,1192,324,0.5697222222222222,0.3301024646912213
MDEwOlJlcG9zaXRvcnkyMzM1NzU4OA==,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26T15:52:15Z,2023-09-06T18:44:23Z,C++,140,4306,5731,4956,3298,0.6341666666666667,0.8647705461525039
MDEwOlJlcG9zaXRvcnkyNjA2NjcyNw==,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,2014-11-01T23:52:32Z,2023-09-06T19:19:12Z,JavaScript,113,1778,2518,1715,3230,0.05388888888888889,0.6810961080222399
